gate_id,stage,status,score,checked_artifacts,blocking_issues,revision_items,questions,next_state,created_at,owner
GATE-QLO-BRIEF-001,intake,PARTIAL_PASS,78,ART-QLO-001;ART-QLO-007,Search scope not approved; product assets missing; AI visibility unclear.,Ask user to approve search; ask client for logo/product assets; keep generated images internal.,是否搜索国内平台？是否有产品高清图/logo规范？AI图是否可进客户审阅？,research_plan,2026-05-13T11:40:00+08:00,Main Controller
GATE-QLO-RESEARCH-001,reference_research,PARTIAL_PASS,81,ART-QLO-008,References are simulated and cannot be cited as real client-facing evidence.,Use references for internal direction only; replace with real links during real project search.,是否允许基于 simulated reference pack 继续内部创意方向？,proposal_architecture,2026-05-13T12:40:00+08:00,QA Agent
GATE-QLO-CREATIVE-001,creative,PASS,86,ART-QLO-011;ART-QLO-012;ART-QLO-013,No blocking issue for internal visual planning.,Product claims still need client-approved wording before client review.,是否继续生成 visual asset slots 和 internal image jobs？,visual_plan,2026-05-13T13:25:00+08:00,QA Agent
GATE-QLO-VISUALPLAN-001,visual_plan,PARTIAL_PASS,82,ART-QLO-010;ART-QLO-015;ART-QLO-016,"Official product image, logo rules, AI client visibility, and real reference links are missing.",Keep product detail jobs blocked; use placeholders in PPT; require Visual Review Gate before selected assets.,是否允许生成 internal_only mood/key-frame images？,visual_review,2026-05-13T14:05:00+08:00,QA Agent
GATE-QLO-VISUALREVIEW-001,visual_review,PARTIAL_PASS,80,ART-QLO-018;ART-QLO-019;ART-QLO-020,No generated image files exist; product assets and AI client visibility are still missing.,Use PPT placeholders; do not promote raw images; ask user before internal generation.,是否进入 PPT visual system 和占位符方案？,ppt_visual_system,2026-05-13T14:30:00+08:00,QA Agent
GATE-QLO-PPT-001,ppt_gate,PARTIAL_PASS,79,ART-QLO-022;ART-QLO-023;ART-QLO-024;ART-QLO-025,"Actual PPTX, real references, official product assets, and AI visibility approval are missing.",Use slide spec and placeholders; do not send as final client deck.,是否先做 HTML/Markdown 结构审，还是补真实素材后做 PPT？,feedback_merge,2026-05-13T14:50:00+08:00,PPT Agent
GATE-QLO-FINAL-001,final_delivery,PARTIAL_PASS,76,ART-QLO-022;ART-QLO-023;ART-QLO-027;ART-QLO-028;ART-QLO-029;ART-QLO-030,"This is a simulation package, not a sendable client deliverable.",Do not send; use as workflow validation and mine reusable skills.,是否进入 Skill Mining？,skill_mining,2026-05-13T15:10:00+08:00,Delivery Agent
GATE-QLO-SKILL-001,skill_mining,PASS,88,ART-QLO-032;ART-QLO-033;ART-QLO-034;ART-QLO-035,No blocker for project-local draft. Global install is not approved.,Keep draft local; validate on one real project before install.,是否需要安装到 ~/.codex/skills？当前默认不安装。,validated_ready,2026-05-13T15:25:00+08:00,Skill Miner
GATE-THREE-COUNCIL-READINESS,project_readiness,PASS,3/3,,,,,ready_for_non_developer_operation,2026-05-22T19:26:03+08:00,three_council
GATE-AUTO-CLIENT-PACK-001,final_delivery,PASS,92,ART-AUTO-CLIENT-PACK-GATE,,修正客户稿风险后重跑 client-pack-gate。,,ready_for_manual_send_confirmation,2026-05-22T19:26:03+08:00,ad_creative_operator
GATE-AUTO-PPT-001,ppt_gate,PASS,90,ART-AUTO-PPTX;ART-AUTO-PPT-EDITABILITY,,客户可见前检查图片来源、页面备注和最终交付一致性。,,ready_for_internal_review,2026-05-22T18:44:32+08:00,ad_creative_operator
GATE-AUTO-REFERENCE-PACK-001,reference_research,PARTIAL_PASS,65,ART-AUTO-REFERENCE-PACK-GATE,,REF-QLO-001 尚未登记真实 https URL。;REF-QLO-002 尚未登记真实 https URL。;REF-QLO-003 尚未登记真实 https URL。;REF-QLO-004 尚未登记真实 https URL。;REF-QLO-005 尚未登记真实 https URL。,,ready_for_internal_creative,2026-05-22T19:26:03+08:00,ad_creative_operator
GATE-AUTO-VISUAL-QUALITY-001,visual_review,PASS,90,ART-AUTO-VISUAL-QUALITY-GATE,,修正视觉资产后重跑 visual-quality-gate。,,ready_for_internal_ppt,2026-05-22T19:26:03+08:00,ad_creative_operator
GATE-AUTO-SEARCH-QUALITY-001,reference_research,PARTIAL_PASS,65,ART-AUTO-SEARCH-QUALITY-GATE,,AD-creative/references/search_plan.md 仍需用户批准或缩小范围。;REF-QLO-001 仍是搜索目标，尚无真实 URL。;REF-QLO-002 仍是搜索目标，尚无真实 URL。;REF-QLO-003 仍是搜索目标，尚无真实 URL。,,ready_for_reference_pack,2026-05-22T19:26:03+08:00,ad_creative_operator
GATE-AUTO-HANDOFF-READINESS-001,final_delivery,PASS,95,ART-AUTO-HANDOFF-READINESS-GATE;ART-AUTO-MANUAL-REVIEW-CHECKLIST,,保持 gate 定期重跑。,,ready_for_non_developer_handoff,2026-05-22T19:26:04+08:00,ad_creative_operator
