work_id,stage,title,objective,owner_agent,status,priority,input_refs,output_artifacts,linked_requirements,linked_source_events,linked_references,linked_assets,linked_slides,blocked_by,gate_required,client_visibility,created_at,updated_at,supersedes_work_id
W-QLO-001,intake,Intake and current truth,"Register source events, extract requirements and gaps, update current truth.",Main Controller,done,high,"SE-QLO-001;SE-QLO-002;SE-QLO-003;SE-QLO-004","ART-QLO-001","R-QLO-001;R-QLO-002;R-QLO-003;R-QLO-004;R-QLO-005;R-QLO-006;R-QLO-007;R-QLO-008;R-QLO-009","SE-QLO-001;SE-QLO-002;SE-QLO-003;SE-QLO-004",,,,,Brief Gate,internal_only,2026-05-13T11:00:00+08:00,2026-05-13T11:35:00+08:00,
W-QLO-002,reference_research,Reference video search approval,"Prepare search plan and simulated reference pack for domestic platforms and brand/competitor references.",Research Agent,done,high,"R-QLO-008;G-QLO-001","ART-QLO-005;ART-QLO-008;ART-QLO-009","R-QLO-008","SE-QLO-004;SE-QLO-005","REF-QLO-001;REF-QLO-002;REF-QLO-003;REF-QLO-004;REF-QLO-005",,,,Research Gate,internal_only,2026-05-13T11:36:00+08:00,2026-05-13T12:40:00+08:00,
W-QLO-003,proposal_architecture,Two-option proposal skeleton,"Create OP1 emotional and OP2 functional proposal structure after research scope approval.",Strategy Agent,done,high,"R-QLO-002;R-QLO-005;R-QLO-006;ART-QLO-008","ART-QLO-002;ART-QLO-011;ART-QLO-012;ART-QLO-013;ART-QLO-014","R-QLO-002;R-QLO-005;R-QLO-006","SE-QLO-004","REF-QLO-001;REF-QLO-002;REF-QLO-004",,,,Creative Gate,internal_only,2026-05-13T11:36:00+08:00,2026-05-13T13:25:00+08:00,
W-QLO-004,visual_plan,Visual asset and image job plan,"Define asset slots, asset locks, image generation policy, and prompt pack before image generation.",Visual Director,done,high,"R-QLO-003;R-QLO-005;R-QLO-006;R-QLO-008;ART-QLO-008;ART-QLO-011;ART-QLO-012","ART-QLO-004;ART-QLO-010;ART-QLO-015;ART-QLO-016;ART-QLO-017","R-QLO-003;R-QLO-005;R-QLO-006;R-QLO-008","SE-QLO-001;SE-QLO-004;SE-QLO-005","REF-QLO-001;REF-QLO-002;REF-QLO-003;REF-QLO-004;REF-QLO-005",,,,Visual Plan Gate,internal_only,2026-05-13T11:38:00+08:00,2026-05-13T14:05:00+08:00,
W-QLO-005,director_resolution,Director notes merge,"Translate director notes into execution constraints without overwriting client direction split.",Main Controller,done,medium,"SE-QLO-003","ART-QLO-006","R-QLO-007","SE-QLO-003",,,,,Brief Gate,internal_only,2026-05-13T11:30:00+08:00,2026-05-13T11:38:00+08:00,
W-QLO-006,client_questions,Client question script,"Generate client questions for missing assets, product specs, and AI visibility.",Main Controller,done,high,"G-QLO-001;G-QLO-002;G-QLO-003;G-QLO-004","ART-QLO-007","R-QLO-003;R-QLO-008","SE-QLO-001;SE-QLO-004",,,,,Brief Gate,internal_only,2026-05-13T11:35:00+08:00,2026-05-13T11:40:00+08:00,
W-QLO-007,visual_review,Visual review and client visibility gate,"Define raw/selected/rejected rules, review matrix, and client visibility matrix before PPT production.",QA Agent,done,high,"ART-QLO-010;ART-QLO-015;ART-QLO-016","ART-QLO-018;ART-QLO-019;ART-QLO-020;ART-QLO-021","R-QLO-004;R-QLO-005;R-QLO-006;R-QLO-008","SE-QLO-001;SE-QLO-004;SE-QLO-005","REF-QLO-001;REF-QLO-002;REF-QLO-003;REF-QLO-004;REF-QLO-005",,,,Visual Review Gate,internal_only,2026-05-13T14:06:00+08:00,2026-05-13T14:30:00+08:00,
W-QLO-008,ppt_gate,Client review pack and PPT visual system,"Create client review outline, slide spec, PPT visual system, editability check, and PPT Gate before building actual PPTX.",PPT Agent,done,high,"ART-QLO-012;ART-QLO-018;ART-QLO-020","ART-QLO-022;ART-QLO-023;ART-QLO-024;ART-QLO-025;ART-QLO-026","R-QLO-001;R-QLO-002;R-QLO-005;R-QLO-006;R-QLO-008","SE-QLO-001;SE-QLO-002;SE-QLO-004","REF-QLO-001;REF-QLO-002;REF-QLO-003;REF-QLO-004;REF-QLO-005",,,,PPT Gate,client_visible_pending,2026-05-13T14:31:00+08:00,2026-05-13T14:50:00+08:00,
W-QLO-009,feedback_merge,Feedback merge and version plan,"Map client changes to requirements and artifacts, then define v002 plan without overwriting v001.",Main Controller,done,high,"SE-QLO-004;ART-QLO-023","ART-QLO-027;ART-QLO-028;ART-QLO-029","R-QLO-002;R-QLO-006;R-QLO-008;R-QLO-009","SE-QLO-004",,,,,Feedback Gate,internal_only,2026-05-13T14:51:00+08:00,2026-05-13T15:00:00+08:00,
W-QLO-010,final_delivery,Final internal delivery gate,"Create delivery note and final gate for simulation, explicitly blocking real client send.",Delivery Agent,done,medium,"ART-QLO-022;ART-QLO-023;ART-QLO-027;ART-QLO-028;ART-QLO-029","ART-QLO-030;ART-QLO-031","R-QLO-001;R-QLO-004;R-QLO-008","SE-QLO-001;SE-QLO-004",,,,,Final Gate,internal_only,2026-05-13T15:01:00+08:00,2026-05-13T15:10:00+08:00,
W-QLO-011,skill_mining,Project-local skill mining,"Find reusable workflow paths, create safe project-local Skill draft with evidence, and avoid global install.",Skill Miner,done,medium,"ART-QLO-018;ART-QLO-020;ART-QLO-021;ART-QLO-027;ART-QLO-025","ART-QLO-032;ART-QLO-033;ART-QLO-034;ART-QLO-035;ART-QLO-036","R-QLO-004;R-QLO-005;R-QLO-006","SE-QLO-004;SE-QLO-005",,,,,Skill Mining Gate,internal_only,2026-05-13T15:11:00+08:00,2026-05-13T15:25:00+08:00,
