artifact_id,artifact_type,path,stage,version,status,visibility,source_event_ids,linked_requirements,linked_work_items,linked_references,linked_assets,gate_status,supersedes_artifact_id,created_at,updated_at,sha256,size_bytes,derived_from_artifact_id,derived_from_sha256,lifecycle_state,original_path,cleanup_ref,removed_at,removal_reason,superseded_by,status_reason
ART-QLO-001,intake_report,AD-creative/orchestrator/current_truth.md,intake,v001,internal_review,internal_only,SE-QLO-001;SE-QLO-002;SE-QLO-003;SE-QLO-004,R-QLO-001;R-QLO-002;R-QLO-003;R-QLO-004;R-QLO-005;R-QLO-006;R-QLO-007;R-QLO-008;R-QLO-009,W-QLO-001,,,PARTIAL_PASS,,2026-05-13T11:35:00+08:00,2026-05-13T11:40:00+08:00,,,,,,,,,,,
ART-QLO-002,proposal_structure,AD-creative/proposal_architecture/two_option_skeleton.md,proposal_architecture,v001,draft,internal_only,SE-QLO-004,R-QLO-002;R-QLO-005;R-QLO-006,W-QLO-003,,,NOT_RUN,,2026-05-13T11:40:00+08:00,2026-05-13T11:40:00+08:00,,,,,,,,,,,
ART-QLO-003,moodboard_requirement_notes,AD-creative/proposal_architecture/moodboard_requirement_notes.md,proposal_architecture,v001,done,internal_only,SE-QLO-002;SE-QLO-003,R-QLO-005,W-QLO-001,,,PASS,,2026-05-13T11:30:00+08:00,2026-05-13T15:35:00+08:00,,,,,,,,,,,
ART-QLO-004,image_job_spec,AD-creative/image_jobs/IMGJOB-QLO-001.md,image_job,v001,blocked,internal_only,SE-QLO-001;SE-QLO-004,R-QLO-003;R-QLO-006,W-QLO-004,,,BLOCKED,,2026-05-13T11:40:00+08:00,2026-05-13T11:40:00+08:00,,,,,,,,,,,
ART-QLO-005,search_plan,AD-creative/references/search_plan.md,research_plan,v001,needs_user_confirm,internal_only,SE-QLO-004,R-QLO-008,W-QLO-002,,,NEEDS_USER_INPUT,,2026-05-13T11:40:00+08:00,2026-05-13T11:40:00+08:00,,,,,,,,,,,
ART-QLO-006,creative_direction,AD-creative/intake/director_resolution.md,intake,v001,done,internal_only,SE-QLO-003,R-QLO-007,W-QLO-005,,,PASS,,2026-05-13T11:38:00+08:00,2026-05-13T11:40:00+08:00,,,,,,,,,,,
ART-QLO-007,intake_report,AD-creative/handoff/客户追问话术.md,intake,v001,done,internal_only,SE-QLO-001;SE-QLO-004,R-QLO-003;R-QLO-008,W-QLO-006,,,PASS,,2026-05-13T11:40:00+08:00,2026-05-13T11:40:00+08:00,,,,,,,,,,,
ART-QLO-008,reference_pack,AD-creative/references/reference_shortlist.md,reference_research,v001,internal_review,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-002;R-QLO-003;R-QLO-008,W-QLO-002,REF-QLO-001;REF-QLO-002;REF-QLO-003;REF-QLO-004;REF-QLO-005,,PARTIAL_PASS,,2026-05-13T12:35:00+08:00,2026-05-13T12:40:00+08:00,,,,,,,,,,,
ART-QLO-009,research_gate_report,AD-creative/gates/GATE-QLO-RESEARCH-001_report.md,reference_research,v001,done,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-008,W-QLO-002,REF-QLO-001;REF-QLO-002;REF-QLO-003;REF-QLO-004;REF-QLO-005,,PARTIAL_PASS,,2026-05-13T12:40:00+08:00,2026-05-13T12:40:00+08:00,,,,,,,,,,,
ART-QLO-010,visual_asset_slots,AD-creative/visual_assets/visual_asset_slots.csv,visual_plan,v001,draft,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-003;R-QLO-006,W-QLO-004,REF-QLO-001;REF-QLO-002;REF-QLO-004,,NOT_RUN,,2026-05-13T12:42:00+08:00,2026-05-13T12:42:00+08:00,,,,,,,,,,,
ART-QLO-011,creative_direction,AD-creative/creative/creative_directions.md,creative,v001,done,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-002;R-QLO-003;R-QLO-005;R-QLO-006,W-QLO-003,REF-QLO-001;REF-QLO-002;REF-QLO-003;REF-QLO-004;REF-QLO-005,,PASS,,2026-05-13T13:15:00+08:00,2026-05-13T13:25:00+08:00,,,,,,,,,,,
