artifact_id,artifact_type,path,stage,version,status,visibility,source_event_ids,linked_requirements,linked_work_items,linked_references,linked_assets,gate_status,supersedes_artifact_id,created_at,updated_at
ART-MON-001,intake_report,AD-creative/orchestrator/current_truth.md,intake,v001,internal_review,internal_only,SE-MON-001,R-MON-001;R-MON-002;R-MON-003,W-MON-001,,,PARTIAL_PASS,,2026-05-13T10:20:00+08:00,2026-05-13T10:35:00+08:00
ART-MON-002,search_plan,AD-creative/references/official_search_plan.md,reference_research,v001,needs_user_confirm,internal_only,SE-MON-001,R-MON-002,W-MON-002,,,NEEDS_USER_INPUT,,2026-05-13T10:35:00+08:00,2026-05-13T10:35:00+08:00
ART-MON-003,proposal_structure,AD-creative/proposal_architecture/first_review_package.md,proposal_architecture,v001,blocked,internal_only,SE-MON-001,R-MON-001;R-MON-003,W-MON-003,,,BLOCKED,,2026-05-13T10:35:00+08:00,2026-05-13T10:35:00+08:00
ART-MON-004,image_job_spec,AD-creative/image_jobs/IMGJOB-MON-001.md,image_job,v001,draft,internal_only,SE-MON-001,R-MON-003,W-MON-004,,,NOT_RUN,,2026-05-13T10:35:00+08:00,2026-05-13T10:35:00+08:00
ART-AUTO-CLIENT-PACK-GATE,client_pack_gate_report,AD-creative/gates/GATE-AUTO-CLIENT-PACK-001_report.md,final_delivery,v001,done,internal_only,,,,,,PASS,,2026-05-22T19:26:03+08:00,2026-05-22T19:26:03+08:00
ART-AUTO-PPTX,pptx,AD-creative/ppt/client_review_draft.pptx,ppt_gate,v001,done,internal_only,,,,,,PASS,,2026-05-22T18:44:32+08:00,2026-05-22T18:44:32+08:00
ART-AUTO-PPT-EDITABILITY,ppt_editability_check,AD-creative/ppt/ppt_editability_check.md,ppt_gate,v001,done,internal_only,,,,,,PASS,,2026-05-22T18:44:32+08:00,2026-05-22T18:44:32+08:00
ART-AUTO-REFERENCE-PACK-GATE,reference_pack_gate_report,AD-creative/gates/GATE-AUTO-REFERENCE-PACK-001_report.md,reference_research,v001,done,internal_only,,,,REF-MON-001;REF-MON-002,,PARTIAL_PASS,,2026-05-22T19:26:03+08:00,2026-05-22T19:26:03+08:00
ART-AUTO-VISUAL-QUALITY-GATE,visual_quality_gate_report,AD-creative/gates/GATE-AUTO-VISUAL-QUALITY-001_report.md,visual_review,v001,done,internal_only,,,,,IMG-MON-PLACEHOLDER-001,PASS,,2026-05-22T19:26:03+08:00,2026-05-22T19:26:03+08:00
ART-AUTO-SEARCH-QUALITY-GATE,search_quality_gate_report,AD-creative/gates/GATE-AUTO-SEARCH-QUALITY-001_report.md,reference_research,v001,done,internal_only,,,,REF-MON-001;REF-MON-002,,PARTIAL_PASS,,2026-05-22T19:26:03+08:00,2026-05-22T19:26:03+08:00
ART-AUTO-MANUAL-REVIEW-CHECKLIST,manual_review_checklist,AD-creative/delivery/manual_review_checklist.md,final_delivery,v001,done,internal_only,,,,,,PASS,,2026-05-22T19:26:04+08:00,2026-05-22T19:26:04+08:00
ART-AUTO-HANDOFF-READINESS-GATE,handoff_readiness_gate_report,AD-creative/gates/GATE-AUTO-HANDOFF-READINESS-001_report.md,final_delivery,v001,done,internal_only,,,,,,PASS,,2026-05-22T19:26:04+08:00,2026-05-22T19:26:04+08:00
ART-GOAL-MON-DUAL-LANE-001,goal_iteration_plan,AD-creative/orchestrator/goal_iterations/GOAL-MON-DUAL-LANE-001.md,goal_planning,v001,done,internal_only,,,,,,PASS,,2026-05-31T20:59:56+08:00,2026-05-31T20:59:56+08:00
